serial number,Company Name,Segment,Contact Number,email id
335,G Next Enterprise,Civil/Environmental,,
336,Glasstek India Enterprises,Civil/Environmental,,
337,Global Pharma Project,Civil/Environmental,,
338,Glowel Cosmetics,Civil/Environmental,,
339,Growequal,Civil/Environmental,,
340,Hanumant Export Industries Pvt. Ltd.,Civil/Environmental,,
341,Herbo Nutra Extract Pvt. Ltd.,Civil/Environmental,,
342,Herbosynth India,Civil/Environmental,,
343,Imago & Getter,Civil/Environmental,,
344,Influx Healthtech Limited,Civil/Environmental,,
345,Intech Cloud,Civil/Environmental,,
346,Ishna Nutrisciences,Civil/Environmental,,
,Management/Business Companies,,,
348,Jain Lifecare Pvt. Ltd.,Management/Business, +91 88662 12422   ,info@jainsoap.com
349,Jain Soap,Management/Business, +91 88662 12422   ,info@jainsoap.com
350,Jainam Packaging,Management/Business,91 9898‑8181‑29, jainamboxpackaging@gmail.com
351,Jiya Nutraherbs,Management/Business,91 84603 36927,jiyanutraherbsim@gmail.com
352,JRD Polymer Pvt. Ltd.,Management/Business,91 22 2431 6604,amol@jrdpolymer.com
353,Kitten Enterprises Pvt. Ltd.,Management/Business,"91‑22‑2764 9201 ,91‑99303 59880",bparekh@kitten.co.in
354,Krisba Healthcare Pvt. Ltd.,Management/Business,"91‑93215 38212,91‑93231 39797",krisbahealthcare@gmail.com
355,Leo Nutriscience LLP,Management/Business,75750 20229,	info@leonutriscience.com
356,Looking Up Business Solutions,Management/Business,9377236573,cphicustomerservice@informa.com
357,Macin Remedies India Limited,Management/Business,99925 12712,macinremedies@yahoo.com
358,Mars Medisoap,Management/Business,"91‑909‑909 2083,91‑9879 323 323",
359,May & Baker Pharmaceuticals Limited,Management/Business,011‑2701 1448,excellence@mayandbaker.net
360,Mediwell Biotech Limited,Management/Business,70182 56703,hr@mediwell.in
361,Mewar Polytex Limited,Management/Business,88750 54444,sales.india@mewarpolytex.com
362,MSC Chemicals,Management/Business,80‑26742928,
363,0D00,Management/Business,79 4050 0100,
364,Omish Laboratories Pvt. Ltd.,Management/Business,  79032 86565,omishlabsamd@gmail.com
365,Parekh Enterprise,Management/Business,91 8875054444,        sales.india@mewarpolytex.com
366,Patel Chem Specialities Limited,Management/Business,91 80719 30473,
367,Pavan Plastics,Management/Business,8045800775,
368,Pharma Now,Management/Business,93218 81791,mansi.s@pharmanow.live
369,Pharma Utility,Management/Business,99301 05077,pharmautility@gmail.com
370,Radiant Stainless Limited,Management/Business,98200 68141,radiantsteelindia@gmail.com
371,Raivat Impex Pvt. Ltd.,Management/Business,,support@navpad.in
372,Ramdoot Packaging,Management/Business,97277 57943,ramdootpackaging@gmail.com
373,Rebase Lifescience Pvt. Ltd.,Management/Business,99099 78048,miteshpatel_14@yahoo.co.in
374,Roar Infotech LLP (Pharma Click),Management/Business,9152233449,info@pharmaclick.co.in
375,Seshaasai Technologies Limited,Management/Business,99305 07777,marketing@seshaasai.com
376,Shreedhar Instruments,Management/Business,98245 10383,sales@shreedhargroup.com
377,Sion Healthcare (SHL) Limited,Management/Business, 80458 16268,sionhealthcare17@gmail.com
378,Snesmi Techno Pvt. Ltd.,Management/Business,099252 20686,snesmi.techno@gmail.com
379,Spraycell Coatings - Anand Enterprise,Management/Business,792‑658‑2705,anandenterprise2000@yahoo.com
380,Sri Kamakshee Enterprises,Management/Business,9840017556,srikamakshienterprices@gmail.com
381,Static Systems Pvt. Ltd.,Management/Business,124-4299376,sales@staticsystems.in
382,Stelvio Healthcare LLP,Management/Business,93752 83441,info@stelviohealthcare.com
383,Stoe Life Pvt. Ltd.,Management/Business,6359522255,support@stoelife.com
384,Swizett Packaging,Management/Business,7874224445,swizettpackaging@gmail.com
385,Tapi Wellness Pvt. Ltd.,Management/Business,,
386,The Council of EU chambers of commerce in India,Management/Business,8104657233,info@euindiachambers.com
387,Tricore Enterprise,Management/Business,98983 21283,tricore@tricore.in
388,Trident Lifeline Limited,Management/Business,261 2490224,info@tridentlifeline.com
389,Trusan Printpack Pvt. Ltd.,Management/Business,88505 30870,business@trusanprintpack.com
390,Upadhrish Reserchem LLP,Management/Business,,dharamvir.malik@akums.net
391,Vestrics Solutions Pvt. Ltd.,Management/Business,9676546655,sales@vestrics.in
392,Vimson Derma,Management/Business,982-588-7700,info@vimsonderma.com
393,Walpar Nutritions Limited,Management/Business,02764-662626,admin@walparnutritions.com
394,Zenon Beaugenic LLP,Management/Business,,
395,Zeon Biotech Pvt. Ltd.,Management/Business,79 6617 0186,info@zeonbiotech.com
